M10 875
M100 75
M110 50
M115 2300
M120 50
M130 50
M15 2425
M182 50
M20 170
M200 50
M210 100
M220 50
M27 150
M295 725
M305 725
M310 50
M34 405
M345 0
M35 130
M40 50
M410 100
M50 50
M500 400
M510 600
M520 650
M530 400
M540 650
M550 750
M560 625
M570 550
M580 300
M90 195
W10 150
W15 1695
W17 3950
W20 350
W25 1075
W255 700
W257 4475
W260 200
W270 150
W275 1315
W280 100
W30 95
W310 100
W320 100
W40 475
W50 300
W55 1950
W57 500
W70 150
W85 500
W290 100
W300 100
W305 200
W60 625
P17 400
P25 200
P65 200
P97 400
P105 200
P145 200
G10 1300
G110 0
G115 625
G12 2150
G120 255
G125 1875
G130 375
G135 900
G140 325
G150 50
G160 50
G165 1750
G175 1750
G20 300
G60 365
G65 2075
G80 1050
TR4 150
TR5 200
TR6 230
TR7 220
YB3 50
YB4 50
YB90 110
B2 550
BP2 500
G17 4880
G27 4770
G7 4790
L5 2475
M2 1730
MR17 1030
W7 4420
Y1 865
Y2 590
Q10 625
Q110 600
Q120 900
Q130 900
Q137 1660
Q140 1425
Q145 200
Q150 700
Q155 350
Q165 500
Q170 100
Q180 100
Q190 150
Q20 1375
Q200 100
Q205 200
Q30 875
Q35 1750
Q40 0
Q50 725
Q60 775
WT15 1740
WT25 2350
WT40 315
WT45 3040
WT5 2000
WT50 325
WT60 365
WT7 4480
WT70 335
WT80 400
WT90 320
WT97 1460
EG10 1680
EG40 1500
EG50 1682
